下载时间,20250729 10:20,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
产品名称,两只兔子求知3Pro儿童安全座椅,,,,,
产品类型,,,,,,
产品型号,,,,,,
产品PID,6sho1h3rxg4a2bbn,,,,,
数据点ID,名称,标识名,数据传输类型,数据类型,数据属性,备注
101,手动加热开关,hotSw,可下发可上报,bool,,手动加热开关 0:关  1:开  默认关闭
102,自动加热设定温度上限,autoHotTempTH,可下发可上报,value,数值范围：16-40，间距：1，单位：摄氏度,自动模式下  加热停止温度  默认23摄氏度
103,自动风扇设定温度上限,autoFanTempTH,可下发可上报,value,数值范围：16-40，间距：1，单位：,自动模式下  散热开启温度  默认25摄氏度
104,自动加热设定温度下限,autoHotTempTL,可下发可上报,value,数值范围：16-40，间距：1，单位：,自动模式下  加热开启温度  默认18摄氏度
105,手动通风开关,fanSw,可下发可上报,bool,,手动通风开关 0:关  1:开  默认关闭
106,IMEI,IMEI,只上报,raw,最大长度：128,15个字节
107,主动低功耗计时器,mcuLpTimer,只上报,value,数值范围：0-30，间距：1，单位：分,"用于云端判断单片机是否进入低功耗  0-30次的定时器  云端需要判断是否为0,若非0则每5分钟减去1  若为0(云端需要将在线状态切换到离线状态的操作)   
设备正常运行中会每10秒上报一次非0值"
108,自动风扇设定温度下限,autoFanTempTL,可下发可上报,value,数值范围：16-40，间距：1，单位：,自动模式下  散热停止温度  默认20摄氏度
109,座椅温度,recTemp,只上报,value,数值范围：-20-100，间距：1，单位：,
110,电量百分比,batPercent,只上报,value,数值范围：0-255，间距：1，单位：,
111,电池充电,batCharge,只上报,bool,,电池充电状态  0:未充电  1:充电
112,离车报警,leaveWarm,只上报,bool,,
113,信号强度,rssi,只上报,value,数值范围：0-31，间距：1，单位：,"需要UI以图形显示当前信号强度，类似于手机信号，具体信号强度和档位关系分配待讨论

米尼恩变更：使用3挡信号强度上报 "
114,电池报警,batWarm,只上报,bool,,电池异常报警  高低温度下影响锂电池充放电功能  部分外设功能无法使用
115,风扇异常报警,fanWarm,只上报,bool,,风扇堵转报警  0:无效  1:堵转
116,加热异常报警,hotWarm,只上报,bool,,加热丝熔断报警  0:无效  1:熔断
117,侧保护开关(左),protectionLeftSw,可下发可上报,bool,,侧保护左侧电机  0:收回  1:打开
118,侧保护开关(右),protectionRightSw,可下发可上报,bool,,侧保护右侧电机  0:收回  1:打开
119,左侧保护报警,leftProtectionWarm,只上报,bool,,侧保护左侧电机  0:无效  1:损坏  
120,自动模式,autoMode,可下发可上报,bool,,
121,右侧保护报警,rightProtectionWarm,只上报,bool,,侧保护右侧电机   0:无效  1:损坏  
122,语音模组版本号,voiceModuleVersion,只上报,raw,最大长度：128,
123,ICCID,ICCID,只上报,raw,最大长度：128,
124,流量开关,trafficSw,可下发可上报,bool,,
125,休眠时间设置,sleepTimeSet,可下发可上报,value,数值范围：0-20，间距：1，单位：分,
126,离车报警时间设置,leaveWarmTimeSet,可下发可上报,value,数值范围：0-30，间距：1，单位：分,
127,非负载模式运行时间设置,noLoadModeRunTimeSet,可下发可上报,value,数值范围：5-30，间距：1，单位：分,
128,氛围灯,F_light,可下发可上报,bool,,氛围灯的开关
129,流量起始时间,trafficStartTime,只下发,value,数值范围：0-1439，间距：1，单位：min,
130,流量结束时间,trafficEndTime,只下发,value,数值范围：0-1439，间距：1，单位：min,
131,经纬度,GNSS,只上报,raw,最大长度：128,经纬度
132,远程模式,isRemoteMode,只上报,bool,,用于上报当前设备是否为远程模式
133,云端解绑,cloudUnbund,可下发可上报,bool,,云端解绑
134,硬件版本号,hardWareVersion,只上报,raw,最大长度：128,Vx.x
135,落座状态,seaton,只上报,bool,,落座开关触发时上报1，离座时上报0
136,mcu休眠,mcusleep,只上报,bool,,"mcu进入休眠时上报1，此时云端app有操作的时候，指令发送两次，以唤醒mcu。
mcu唤醒后上报0，此时云端正常发送一次指令"
137,自动旋转,auto_rotate,可下发可上报,bool,,自动旋转模式开关状态
138,助力旋转,assist_rotate,可下发可上报,bool,,助力旋转模式开关状态
139,自动旋转校准状态,auto_rotate_ready,只上报,bool,,产品完成自动旋转校准设置标志位
140,自动通风温度阈值,auto_fan_temp,可下发可上报,value,数值范围：0-99，间距：1，单位：摄氏度,
141,自动加热温度阈值,auto_heat_temp,可下发可上报,value,数值范围：0-99，间距：1，单位：摄氏度,
142,座椅旋转位置值,rotary_position,只上报,value,数值范围：0-359，间距：1，单位：°,
143,app旋转控制指令,rotate_command,只下发,value,数值范围：0-99，间距：1，单位：,"0--空
1--箭头下
2--箭头左
3--箭头上
4--箭头右"
144,座椅安装位置,installation_position,可下发可上报,bool,,0代表安装在主驾后，1代表安装在副驾后
145,GPS经度值,longitude_value,只上报,value,数值范围：0-180000，间距：1，单位：,
