,,,,,,,,,,,,,
,序号,相关功能,相关功能,离线指令词(用户）,播报词（产品）,备注,求知2,求知2Pro,求知3pro/求知3/求知3pro AI,发送协议,回传协议/第一种状态,回传协议/第二种状态,
,1,唤醒词,唤醒词,两只兔子/自定学习词,我在,两只兔子（唤醒词）需要发送协议给MCU，让MCU知道被唤醒，播报词“我在”为模组自动播报,√,√,√,A5 FA 00 81 01 00 21 FB ,A5 FA 00 03 01 00 04 FB,,
,2,唤醒词,学习唤醒词,学习唤醒词,"①若没有录制过唤醒词-用户自定义唤醒词SOP

产品播报【请说你想新增的唤醒词】→等待用户语音输入”→回答用户设定唤醒词内容【**】
若录入成功则播报【学习成功】，该指令完成；
若录入失败则播报【学习失败，请再说一次】，重复上述操作，若成功则播报【学习成功】
注：使用学习两次方案或等待录入时间超过**则判断为学习不成功则播报【“学习中止，已退出”】


②若之前有录制过唤醒词：播报【清重置学习后再开始学习】，重复上述操作流程
",降低该词条灵敏度,√,√,√,-,-,,
,3,唤醒词,学习唤醒词,删除唤醒词,播报“操作成功”,,√,√,√,-,-,,
,4,,学习唤醒词,,学习数超上限,,,,,,,,
,5,,学习唤醒词,,请再说一次,,,,,,,,
,6,,学习唤醒词,,语音长度不够,,,,,,,,
,7,通风,打开风扇,打开风扇,好的，已打开通风/通风已经开启啦,"1.若目前状态与指令目标状态重合，则播报后者；
2.若下达指令时，座椅处于自动模式，则退出自动模式。",√,√,√,A5 FA 00 81 04 00 24 FB,A5 FA 00 03 04 00 07 FB,A5 FA 00 03 04 01 08 FB,
,8,通风,打开风扇,打开通风,好的，已打开通风/通风已经开启啦,"1.若目前状态与指令目标状态重合，则播报后者；
2.若下达指令时，座椅处于自动模式，则退出自动模式。",√,√,√,A5 FA 00 81 04 00 24 FB,A5 FA 00 03 04 00 07 FB,A5 FA 00 03 04 01 08 FB,
,9,通风,关闭风扇,关闭风扇,好的，已关闭通风/通风还没开启哦,"1.若目前状态与指令目标状态重合，则播报后者；
2.若下达指令时，座椅处于自动模式，则退出自动模式。",√,√,√,A5 FA 00 81 05 00 25 FB ,A5 FA 00 03 05 00 08 FB,A5 FA 00 03 05 01 09 FB,
,10,通风,关闭风扇,关闭通风,好的，已关闭通风/通风还没开启哦,"1.若目前状态与指令目标状态重合，则播报后者；
2.若下达指令时，座椅处于自动模式，则退出自动模式。",√,√,√,A5 FA 00 81 05 00 25 FB ,A5 FA 00 03 05 00 08 FB,A5 FA 00 03 05 01 09 FB,
,11,加热,打开加热,打开加热,好的，已打开加热/加热已经开启啦,"1.若目前状态与指令目标状态重合，则播报后者；
2.若下达指令时，座椅处于自动模式，则退出自动模式。",√,√,√,A5 FA 00 81 06 00 26 FB ,A5 FA 00 03 06 00 09 FB,A5 FA 00 03 06 01 0A FB,
,12,加热,打开加热,开始加热,好的，已打开加热/加热已经开启啦,"1.若目前状态与指令目标状态重合，则播报后者；
2.若下达指令时，座椅处于自动模式，则退出自动模式。",√,√,√,A5 FA 00 81 06 00 26 FB ,A5 FA 00 03 06 00 09 FB,A5 FA 00 03 06 01 0A FB,
,13,加热,关闭加热,关闭加热,好的，已关闭加热/加热还没开启哦,"1.若目前状态与指令目标状态重合，则播报后者；
2.若下达指令时，座椅处于自动模式，则退出自动模式。",√,√,√,A5 FA 00 81 07 00 27 FB ,A5 FA 00 03 07 00 0A FB,A5 FA 00 03 07 01 0B FB,
,14,加热,关闭加热,停止加热,好的，已关闭加热/加热还没开启哦,"1.若目前状态与指令目标状态重合，则播报后者；
2.若下达指令时，座椅处于自动模式，则退出自动模式。",√,√,√,A5 FA 00 81 07 00 27 FB ,A5 FA 00 03 07 00 0A FB,A5 FA 00 03 07 01 0B FB,
,15,自动模式,进入自动模式,自动模式,好的，已打开自动模式,"1.若开机时检测到温度介于18-25℃之间，则不开启通风与加热；
2.若开机时检测到温度低于18℃，则开启加热，直到23℃时停止。
3.若开机时检测到温度高于25℃，则开启通风，直到20℃停止；
4.上述任意状态执行完成后，持续检测温度，若低于18℃或高于25℃，参照2、3条执行。",√,√,√,A5 FA 00 81 08 00 28 FB,A5 FA 00 03 08 00 0B FB,,
,16,自动模式,退出自动模式,退出自动模式,好的，已退出自动模式,"1.若开机时检测到温度介于18-25℃之间，则不开启通风与加热；
2.若开机时检测到温度低于18℃，则开启加热，直到23℃时停止。
3.若开机时检测到温度高于25℃，则开启通风，直到20℃停止；
4.上述任意状态执行完成后，持续检测温度，若低于18℃或高于25℃，参照2、3条执行。",√,√,√,A5 FA 00 81 09 00 29 FB ,A5 FA 00 03 09 00 0C FB,,
,17,自动模式,退出自动模式,关闭自动模式,好的，已退出自动模式,"1.若开机时检测到温度介于18-25℃之间，则不开启通风与加热；
2.若开机时检测到温度低于18℃，则开启加热，直到23℃时停止。
3.若开机时检测到温度高于25℃，则开启通风，直到20℃停止；
4.上述任意状态执行完成后，持续检测温度，若低于18℃或高于25℃，参照2、3条执行。",√,√,√,A5 FA 00 81 09 00 29 FB ,A5 FA 00 03 09 00 0C FB,,
,18,氛围灯,打开氛围灯,打开氛围灯,好的，已打开氛围灯/氛围灯已经开启啦,若目前状态与指令目标状态重合，则播报后者,√,√,√,A5 FA 00 81 0A 00 2A FB ,A5 FA 00 03 0A 00 0D FB,A5 FA 00 03 0A 01 0E FB,
,19,氛围灯,打开氛围灯,打开灯光,好的，已打开氛围灯/氛围灯已经开启啦,若目前状态与指令目标状态重合，则播报后者,√,√,√,A5 FA 00 81 0A 00 2A FB ,A5 FA 00 03 0A 00 0D FB,A5 FA 00 03 0A 01 0E FB,
,20,氛围灯,关闭氛围灯,关闭氛围灯,好的，已关闭氛围灯/氛围灯还没开启哦,若目前状态与指令目标状态重合，则播报后者,√,√,√,A5 FA 00 81 0B 00 2B FB ,A5 FA 00 03 0B 00 0E FB,A5 FA 00 03 0B 01 0F FB,
,21,氛围灯,关闭氛围灯,关闭灯光,好的，已关闭氛围灯/氛围灯还没开启哦,若目前状态与指令目标状态重合，则播报后者,√,√,√,A5 FA 00 81 0B 00 2B FB ,A5 FA 00 03 0B 00 0E FB,A5 FA 00 03 0B 01 0F FB,
,22,音量调节,增大音量,声音大点,好的，已调整为最大音量/好的，已调整为中等音量/好的，已调整为最小音量）,"1.音量总共变更为三档（最小音量/中等音量/最大音量）；
2.调整音量完成后，座椅播报对应音量等级",√,√,√,,,,
,23,音量调节,增大音量,增大音量,好的，已调整为最大音量/好的，已调整为中等音量/好的，已调整为最小音量）,,√,√,√,-,-,-,
,24,音量调节,增大音量,提升音量,好的，已调整为最大音量/好的，已调整为中等音量/好的，已调整为最小音量）,,√,√,√,-,-,-,
,25,音量调节,减小音量,声音小点,好的，已调整为最大音量/好的，已调整为中等音量/好的，已调整为最小音量）,,√,√,√,,,,
,26,音量调节,减小音量,减小音量,好的，已调整为最大音量/好的，已调整为中等音量/好的，已调整为最小音量）,,√,√,√,-,-,-,
,27,音量调节,减小音量,降低音量,好的，已调整为最大音量/好的，已调整为中等音量/好的，已调整为最小音量）,,√,√,√,-,-,-,
,28,音量调节,打开静音,开启静音,好的，已进入静音模式,进入静音指令后，对下述《主动播报类》关键词进行屏蔽，但保持唤醒词及所涉指令的响应。,,√,√,A5 FA 00 81 10 00 30 FB ,A5 FA 00 03 10 00 13 FB,,
,29,音量调节,打开静音,进入静音,好的，已进入静音模式,进入静音指令后，对下述《主动播报类》关键词进行屏蔽，但保持唤醒词及所涉指令的响应。,,√,√,A5 FA 00 81 10 00 30 FB ,A5 FA 00 03 10 00 13 FB,,
,30,音量调节,打开静音,打开静音,好的，已进入静音模式,进入静音指令后，对下述《主动播报类》关键词进行屏蔽，但保持唤醒词及所涉指令的响应。,,√,√,A5 FA 00 81 10 00 30 FB ,A5 FA 00 03 10 00 13 FB,,
,31,音量调节,关闭静音,退出静音,好的，已退出静音模式,,,√,√,A5 FA 00 81 11 00 31 FB ,A5 FA 00 03 11 00 14 FB,,
,32,音量调节,关闭静音,关闭静音,好的，已退出静音模式,,,√,√,A5 FA 00 81 11 00 31 FB ,A5 FA 00 03 11 00 14 FB,,
,33,侧保护,打开侧保护,打开侧保护,好的，已打开侧保护,,,√,√,A5 FA 00 81 12 00 32 FB ,A5 FA 00 03 12 00 15 FB,,
,34,侧保护,打开侧保护,打开侧防,好的，已打开侧保护,,,√,√,A5 FA 00 81 12 00 32 FB ,A5 FA 00 03 12 00 15 FB,,
,35,侧保护,打开侧保护,打开左侧保护,好的，已打开左侧保护,,,√,√,A5 FA 00 81 13 00 33 FB ,A5 FA 00 03 13 00 16 FB,,
,36,侧保护,打开侧保护,打开右侧保护,好的，已打开右侧保护,,,√,√,A5 FA 00 81 25 00 45 FB ,A5 FA 00 03 25 00 28 FB,,
,37,侧保护,关闭侧保护,关闭侧保护,好的，已关闭侧保护,,,√,√,A5 FA 00 81 14 00 34 FB ,A5 FA 00 03 14 00 17 FB,,
,38,侧保护,关闭侧保护,关闭侧防,好的，已关闭侧保护,,,√,√,A5 FA 00 81 14 00 34 FB ,A5 FA 00 03 14 00 17 FB,,
,39,侧保护,关闭侧保护,关闭左侧保护,好的，已关闭左侧保护,,,√,√,A5 FA 00 81 15 00 35 FB ,A5 FA 00 03 15 00 18 FB,,
,40,侧保护,关闭侧保护,关闭右侧保护,好的，已关闭右侧保护,,,√,√,A5 FA 00 81 16 00 36 FB ,A5 FA 00 03 16 00 19 FB,,
,41,网络重置,网络重置,网络重置,如要进行解除绑定操作，请对我说：“确认”。,"1.进行网络重置，解绑当前设备账号；
2.座椅恢复到自动模式；
3.侧保护复位成打开状态；
4.学习的唤醒词清除。",,√,√,A5 FA 00 81 17 00 37 FB ,A5 FA 00 03 17 00 1A FB,,
,42,网络重置,网络重置,解除绑定,如要进行解除绑定操作，请对我说：“确认”。,"1.进行网络重置，解绑当前设备账号；
2.座椅恢复到自动模式；
3.侧保护复位成打开状态；
4.学习的唤醒词清除。",,√,√,A5 FA 00 81 17 00 37 FB ,A5 FA 00 03 17 00 1A FB,,
,43,网络重置,网络重置,确认,好的，已解除绑定,"1.进行网络重置，解绑当前设备账号；
2.座椅恢复到自动模式；
3.侧保护复位成打开状态；
4.学习的唤醒词清除。",,√,√,A5 FA 00 81 18 00 38 FB ,A5 FA 00 03 18 00 1B FB,,
,44,状态查询,信号检测,网络信号,当前信号强度：强/中/弱,,,√,√,A5 FA 00 81 19 00 39 FB,"强 A5 FA 00 03 19 00 1C FB
中 A5 FA 00 03 19 01 1D FB
弱 A5 FA 00 03 19 02 1E FB",,
,45,状态查询,信号检测,信号强度,当前信号强度：强/中/弱,,,√,√,A5 FA 00 81 19 00 39 FB,"强 A5 FA 00 03 19 00 1C FB
中 A5 FA 00 03 19 01 1D FB
弱 A5 FA 00 03 19 02 1E FB",,
,46,状态查询,电量查询,电池电量,当前电量百分之**,,,√,√,A5 FA 00 81 1A 00 3A FB ,右侧（电量回复11条，0-100%）,电量0  A5 FA 00 03 1A 00 1D FB,
,47,主动播报类,状态切换,-,你好，我是两只兔子,连接电源时，重力开关触发,√（连接电源时）,√,√,,A5 FA 00 03 1B 00 1E FB,电量10   A5 FA 00 03 1A 01 1E FB,
,48,主动播报类,状态切换,-,请坐好,连接电源时，重力开关松开,,√,√,,A5 FA 00 03 1C 00 1F FB,电量20   A5 FA 00 03 1A 02 1F FB,静音模式下不播报
,49,主动播报类,状态切换,-,你好，我是两只兔子,断开电源时，重力开关触发,,√,√,,A5 FA 00 03 1B 00 1E FB,电量30   A5 FA 00 03 1A 03 20 FB,静音模式下不播报
,50,主动播报类,状态切换,-,再见,断开电源时，重力开关断开,,√,√,,A5 FA 00 03 1D 00 20 FB,电量40  A5 FA 00 03 1A 04 21 FB,静音模式下不播报
,51,主动播报类,状态切换,-,离车前别忘了我,重力开关触发时，电源断开,,√,√,,A5 FA 00 03 1E 00 21 FB,电量50  A5 FA 00 03 1A 05 22 FB,静音模式下不播报
,52,主动播报类,状态切换,-,准备出发,重力开关触发时，电源连接,,√,√,,A5 FA 00 03 1F 00 22 FB,电量60   A5 FA 00 03 1A 06 23 FB,静音模式下不播报
,53,主动播报类,提示,,电量低，请充电,电量低于20%，且发生重力开关通断电或电源断开时播报。,,√,√,,A5 FA 00 03 20 00 23 FB,电量70   A5 FA 00 03 1A 07 24 FB,静音模式下不播报
,55,主动播报类,提示,,配对成功,联网状态从未配对变为已联网时,,√,√,,A5 FA 00 03 27 00 2A FB,电量80   A5 FA 00 03 1A 08 25 FB,
,54,主动播报类,提示,,座椅升级中，请耐心等待,座椅接收到ota指令并开始升级前。,,√,√,,A5 FA 00 03 21 00 24 FB,电量90  A5 FA 00 03 1A 09 26 FB,
,55,主动播报类,提示,,座椅升级成功,ota成功后。,,√,√,,A5 FA 00 03 22 00 25 FB,电量100  A5 FA 00 03 1A 0A 27 FB,
,56,主动播报类,遗忘报警,,两只兔子温馨提示，宝宝是否被遗忘在车内，如果没有，请对我说没有。,遗忘报警触发前，播报该词条以确认：若未接收到“没有”指令，则进入遗忘报警模式。,,√,√,,A5 FA 00 03 23 00 26 FB,,
,57,,遗忘报警,没有,好的,触发遗忘报警确认提示音后，若输入此指令，则不进入遗忘报警模式，直至下次通电重新启动遗忘报警判断逻辑。,,√,√,A5 FA 00 81 24 00 44 FB ,A5 FA 00 03 24 00 27 FB,,
,57,,提示,,请连接电源,,,√,√,,A5 FA 00 03 26 00 29 FB,,
,58,助力旋转开关,助力旋转开关,"打开助力
开启助力",好的，已打开旋转助力/旋转助力已经开启啦,助力模式用于手动推动座椅时动作标志,,,√,A5 FA 00 81 28 00 48 FB ,A5 FA 00 03 28 00 2B FB,A5 FA 00 03 28 01 2C FB,
,58,助力旋转开关,助力旋转开关,关闭助力,好的，已关闭旋转助力/旋转助力还没开启哦,助力模式用于手动推动座椅时动作标志,,,√,A5 FA 00 81 29 00 49 FB ,A5 FA 00 03 29 00 2C FB,A5 FA 00 03 29 01 2D FB,
,59,自动旋转开关,自动旋转开关,"打开自动旋转
开启自动旋转",好的，已打开自动旋转/自动旋转已经开启啦,自动旋转需要在未落座时才能动作，根据TOF状态自动旋转座椅,,,√,A5 FA 00 81 2A 00 4A FB ,A5 FA 00 03 2A 00 2D FB,A5 FA 00 03 2A 01 2E FB,
,59,自动旋转开关,自动旋转开关,关闭自动旋转,好的，已关闭自动旋转/自动旋转还没开启哦,自动旋转需要在未落座时才能动作，根据TOF状态自动旋转座椅,,,√,A5 FA 00 81 2B 00 4B FB ,A5 FA 00 03 2B 00 2E FB,A5 FA 00 03 2B 01 2F FB,
,60,非自动旋转,非自动旋转,转到门口/转到外面,已转向门口/已经在门口啦,该模式下，座椅转动不判断TOF状态（四个词条灵敏度降低）,,,√,A5 FA 00 81 2C 00 4C FB ,A5 FA 00 03 2C 00 2F FB,A5 FA 00 03 2C 01 30 FB,
,60,非自动旋转,非自动旋转,转到前面/转到正向/转到正面,已转向正向/已经在正向啦,该模式下，座椅转动不判断TOF状态（四个词条灵敏度降低）,,,√,A5 FA 00 81 2D 00 4D FB ,A5 FA 00 03 2D 00 30 FB,A5 FA 00 03 2D 01 31 FB,
,60,非自动旋转,非自动旋转,转到后面/转到反向/转到反面,已转向反向/已经在反向啦,该模式下，座椅转动不判断TOF状态（四个词条灵敏度降低）,,,√,A5 FA 00 81 2E 00 4E FB ,A5 FA 00 03 2E 00 31 FB,A5 FA 00 03 2E 01 32 FB,
